year,month,day,hour,open,high,low,close,adj close
2019,7,23,19,6443.710938,6454.088867,6396.674805,6403.810059,6403.810059
2019,7,24,19,6413.319824,6419.221191,6380.01123,6384.986816,6384.986816
2019,7,25,19,6392.388184,6412.714844,6386.291016,6401.365234,6401.365234
2019,7,26,19,6379.204102,6385.587891,6314.410156,6325.236816,6325.236816
2019,7,29,19,6336.845215,6349.367188,6283.602051,6299.035156,6299.035156
2019,7,30,19,6317.573242,6376.996094,6317.036133,6376.996094,6376.996094
2019,7,31,19,6362.108887,6390.504883,6348.99707,6390.504883,6390.504883
2019,8,1,19,6385.26416,6404.581055,6372.705078,6381.541992,6381.541992
2019,8,2,19,6341.123047,6353.11084,6317.270996,6340.180176,6340.180176
2019,8,5,19,6311.164063,6315.062988,6175.703125,6175.703125,6175.703125
2019,8,6,19,6105.09082,6157.762207,6022.599121,6119.471191,6119.471191
2019,8,7,19,6155.828125,6221.661133,6153.644043,6204.194824,6204.194824
2019,8,8,19,6224.897949,6281.100098,6224.897949,6274.670898,6274.670898
2019,8,9,19,6300.092773,6319.439941,6280.667969,6282.131836,6282.131836
2019,8,12,19,6300.672852,6309.102051,6245.276855,6250.595215,6250.595215
2019,8,13,19,6251.308105,6251.308105,6198.065918,6210.961914,6210.961914
2019,8,14,19,6255.509766,6274.575195,6240.204102,6267.334961,6267.334961
2019,8,15,19,6192.456055,6257.585938,6161.665039,6257.585938,6257.585938
2019,8,16,19,6264.379883,6292.375,6235.701172,6286.657227,6286.657227
2019,8,19,19,6310.632813,6329.73877,6284.775879,6296.714844,6296.714844
2019,8,20,19,6311.907227,6317.690918,6279.564941,6295.737793,6295.737793
2019,8,21,19,6290.811035,6308.352051,6247.990234,6252.966797,6252.966797
2019,8,22,19,6257.556152,6265.957031,6210.537109,6239.245117,6239.245117
2019,8,23,19,6228.129883,6255.597168,6204.187988,6255.597168,6255.597168
2019,8,26,19,6193.230957,6230.314941,6149.02002,6214.509766,6214.509766
2019,8,27,19,6244.573242,6289.884766,6223.744141,6278.170898,6278.170898
2019,8,28,19,6289.650879,6306.329102,6267.194824,6281.645996,6281.645996
2019,8,29,19,6288.186035,6306.895996,6276.420898,6289.119141,6289.119141
2019,8,30,19,6316.119141,6329.883789,6305.037109,6328.470215,6328.470215
2019,9,2,19,6331.147949,6338.112793,6281.60498,6290.545898,6290.545898
2019,9,3,19,6293.361816,6310.630859,6248.796875,6261.589844,6261.589844
2019,9,4,19,6266.76416,6273.604004,6239.000977,6269.664063,6269.664063
